title	type	country	release_date	added_date	rating	duration	genres	director	cast	imdb_score	imdb_votes
My Perfect Landing	TV Show	Canada	2020	2020-08-01	TV-G	1 Season	Kids' TV	NA	Morgan Wigle, Tom Hulshof, Helena Marie, Shawn Thompson, Natasha Zaborski, Ajanae Stephenson, Francesca Van Keekan, Jordan Clark	6.6	161
Nagi-Asu: A Lull in the Sea	TV Show	Japan	2014	2020-08-01	TV-14	1 Season	Anime Series, Romantic TV Shows, Teen TV Shows	NA	Natsuki Hanae, Kana Hanazawa, Ai Kayano, Ryota Osaka, Kaito Ishikawa, Mikako Komatsu, Kaori Ishihara, Kaori Nazuka, Masuo Amada, Junji Majima, Motomu Kiyokawa, Kohsuke Toriumi	7.3	1152
Rogue Warfare: The Hunt	Movie	United States	2020	2020-08-01	R	104 min	Action & Adventure	Mike Gunther	Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang	3.1	570
Super Monsters: The New Class	Movie	Canada	2020	2020-08-01	TV-Y	25 min	Children & Family Movies	Steve Ball	Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Asia Mattu, Rukiya Bernard, Elicia MacKenzie, Ian James Corlett, Britt McKillip	NA	NA
The Next Step	TV Show	Canada	2018	2020-08-01	TV-G	1 Season	Kids' TV, Reality TV, TV Dramas	NA	Shamier Anderson, Victoria Baldesarra, Alexandra Beaton, Jordan Clark, Brennan Clost, Samantha Grecchi, Lamar Johnson, Isaac Lupien, Trevor Tordjman, Brittany Raymond, Bree Wasylenko, Jennifer Pappas, Tamina Pollack-Paris, Logan Fabbro, Megan Mackenzie, Alex Beaton, Natalie Krill	5.9	1928
The Ottoman Lieutenant	Movie	Turkey, United States	2017	2020-08-01	R	111 min	Dramas, Romantic Movies	Joseph Ruben	Michiel Huisman, Hera Hilmar, Josh Hartnett, Ben Kingsley, Haluk Bilginer, Affif Ben Badra, Paul Barrett, Jessica Turner	6.4	25582
Toradora!	TV Show	Japan	2008	2020-08-01	TV-14	1 Season	Anime Series, International TV Shows, Romantic TV Shows	NA	Rie Kugimiya, Junji Majima, Yui Horie, Hirofumi Nojima, Eri Kitamura, Sayaka Ohara, Ai Nonaka, Momoko Ishikawa, Hiroyuki Yoshino, Kazuyuki Okitsu, Rie Tanaka, Yuhko Kaida, Saori Goto	8	14307
Transformers Rescue Bots Academy	TV Show	United States	2020	2020-08-01	TV-Y	2 Seasons	Kids' TV	NA	Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou	NA	NA
Tumi or not Tumi	Movie	NA	2020	2020-08-01	TV-MA	72 min	Stand-Up Comedy	Mfanelo Ngoma	Tumi Morake	NA	NA
What Keeps You Alive	Movie	Canada	2018	2020-08-01	R	99 min	LGBTQ Movies, Thrillers	Colin Minihan	Hannah Emily Anderson, Brittany Allen, Martha MacIsaac, Joey Klein, Charlotte Lindsay Marron	NA	NA
Get Even	TV Show	United Kingdom	2020	2020-07-31	TV-PG	1 Season	British TV Shows, Crime TV Shows, International TV Shows	NA	Kim Adis, Mia McKenna-Bruce, Bethany Antonia, Jessica Alexander	NA	NA
Latte and the Magic Waterstone	Movie	Germany	2020	2020-07-31	TV-Y	83 min	Children & Family Movies, Comedies	Regina Welker, Nina Wels	Ashley Bornancin, Carter Hastings	5.6	938
